the_geom,SEGMENTID,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-74.00701717096757 40.724634757833414),"31,895",0,N,1,567,9,0,1,05/14/2009 12:00:00 AM,11/18/2011 12:00:00 AM,6,DoITT,19743001,0,HOLLAND
POINT (-73.82661642130311 40.797182526598505),"306,303","3,378",N,2,568,8,0,4,05/14/2009 12:00:00 AM,01/09/2017 12:00:00 AM,6,DoITT,49731001,0,WHITESTONE
POINT (-73.99395441100663 40.70384707235758),"144,842","3,960",N,2,576,8,0,3,05/14/2009 12:00:00 AM,01/22/2018 12:00:00 AM,6,DoITT,39734001,0,BROOKLYN
POINT (-73.9919414213091 40.70960010711745),"162,664",0,N,1,580,8,0,1,05/14/2009 12:00:00 AM,05/11/2011 12:00:00 AM,6,DoITT,19795001,0,MANHATTAN
POINT (-73.9526609766105 40.73906602249743),"157,362",0,N,1,582,8,0,3,05/14/2009 12:00:00 AM,03/03/2017 12:00:00 AM,6,DoITT,39740001,0,PULASKI
POINT (-73.88514373689752 40.786728087346724),"188,216",0,N,2,584,8,0,2,05/14/2009 12:00:00 AM,05/09/2017 12:00:00 AM,6,DoITT,29823001,0,RIKERS ISLAND
POINT (-73.94269883592102 40.73904190947023),"189,271",0,N,2,590,8,0,4,05/14/2009 12:00:00 AM,05/09/2017 12:00:00 AM,6,DoITT,43649002,0,BORDEN AVENUE BRIDGE
POINT (-73.99021820844462 40.67614862375878),"22,514",0,N,2,594,8,0,3,05/14/2009 12:00:00 AM,03/03/2017 12:00:00 AM,6,DoITT,30538002,0,3
POINT (-73.93236490031313 40.81950790508749),"69,404",0,N,1,603,8,0,2,05/14/2009 12:00:00 AM,10/21/2015 12:00:00 AM,6,DoITT,29830001,0,145
POINT (-73.98924219391657 40.704871707578455),"155,168","3,960",N,2,605,8,0,3,05/14/2009 12:00:00 AM,01/22/2018 12:00:00 AM,6,DoITT,39721001,0,MANHATTAN
POINT (-73.92788452519541 40.80405743794189),"259,119",15,N,1,607,8,0,2,05/14/2009 12:00:00 AM,10/23/2012 12:00:00 AM,6,DoITT,21003001,0,WILLIS
POINT (-73.93314181020845 40.819480548636484),"295,141",0,N,2,609,8,0,1,05/14/2009 12:00:00 AM,04/19/2018 12:00:00 AM,6,DoITT,19775001,0,145
POINT (-73.83947161357135 40.76570484358984),"153,035",0,N,2,613,8,0,4,05/14/2009 12:00:00 AM,01/25/2021 12:00:00 AM,6,DoITT,46629019,0,WHITESTONE EXPRESSWAY
POINT (-73.9257029445795 40.778348477576266),"141,122",0,N,2,717,8,0,4,05/14/2009 12:00:00 AM,03/03/2017 12:00:00 AM,6,DoITT,49730001,0,ROBERT F KENNEDY
POINT (-74.1425522840185 40.64096389860076),"152,786",0,N,2,722,8,0,5,05/14/2009 12:00:00 AM,03/17/2017 12:00:00 AM,6,DoITT,59700001,0,BAYONNE
POINT (-73.92157142849068 40.878164018513914),"143,394",0,N,1,724,8,0,2,05/14/2009 12:00:00 AM,11/05/2012 12:00:00 AM,6,DoITT,29831001,0,HENRY HUDSON
POINT (-73.79372123642588 40.80223345814473),"141,127",0,N,1,728,8,0,2,05/14/2009 12:00:00 AM,05/09/2017 12:00:00 AM,6,DoITT,29816001,0,THROGS NECK
POINT (-73.9991447596062 40.75884885236805),"164,622",0,N,1,729,9,0,1,05/14/2009 12:00:00 AM,05/10/2013 12:00:00 AM,6,DoITT,19804001,0,LINCOLN
POINT (-73.95401591516496 40.74148434588156),"195,043",0,N,2,"6,850",9,0,4,05/14/2009 12:00:00 AM,10/30/2017 12:00:00 AM,6,DoITT,49713001,0,QUEENS MIDTOWN
POINT (-73.92252499509385 40.71654313746215),"66,424",0,N,1,"6,851",8,0,4,05/14/2009 12:00:00 AM,01/25/2021 12:00:00 AM,6,DoITT,44729003,0,GRAND
POINT (-73.97581238008704 40.714701275978264),"308,236","3,218",N,1,926,8,0,1,05/14/2009 12:00:00 AM,01/22/2021 12:00:00 AM,6,DoITT,19776001,0,WILLIAMSBURG
POINT (-73.93385155771828 40.81415929950738),"295,133",0,N,1,929,8,0,1,05/14/2009 12:00:00 AM,02/02/2016 12:00:00 AM,6,DoITT,19789001,0,MADISON
POINT (-73.89184632789696 40.77673740399415),"77,104",0,N,2,931,8,0,4,05/14/2009 12:00:00 AM,05/13/2011 12:00:00 AM,6,DoITT,49735001,0,RIKERS ISLAND
POINT (-73.9285220601287 40.84700074947195),"137,516",0,N,2,934,8,0,1,05/14/2009 12:00:00 AM,05/04/2011 12:00:00 AM,6,DoITT,10020001,0,WASHINGTON
POINT (-73.92906431305518 40.72726078863405),"313,027",0,N,1,936,8,0,3,05/14/2009 12:00:00 AM,10/18/2018 12:00:00 AM,6,DoITT,39736001,0,KOSCIUSZKO
POINT (-73.92873591428327 40.728080756621544),"312,736",0,N,1,937,8,0,4,05/14/2009 12:00:00 AM,09/04/2019 12:00:00 AM,6,DoITT,49727001,0,KOSCIUSZKO
POINT (-73.93449272624562 40.82803502688598),"295,150",0,N,1,"9,906",8,0,1,05/14/2009 12:00:00 AM,09/25/2017 12:00:00 AM,6,DCP,19794001,0,MACOMBS DAM
POINT (-74.00777283741368 40.68530779843458),"154,308",0,N,1,"13,053",9,0,3,05/14/2009 12:00:00 AM,10/20/2017 12:00:00 AM,6,DCP,39700001,0,HUGH L CAREY
POINT (-73.922939079296 40.71642236593642),"66,420",0,N,1,"6,852",8,0,3,05/14/2009 12:00:00 AM,03/03/2017 12:00:00 AM,6,DoITT,34513002,0,GRAND
POINT (-73.91530713818614 40.86295889905344),"288,066",0,N,2,"7,408",8,0,1,05/14/2009 12:00:00 AM,09/30/2015 12:00:00 AM,6,EMS,19762001,0,UNIVERSITY HEIGHTS
POINT (-73.98590152410236 40.581448231092736),"342,498",0,N,1,"16,708",8,"3,415,615",3,05/14/2009 12:00:00 AM,06/21/2022 12:00:00 AM,6,DoITT,33063007,0,CROPSEY
POINT (-73.93304844725213 40.828149409127086),"120,980",0,N,2,"16,710",8,0,2,05/14/2009 12:00:00 AM,12/20/2019 12:00:00 AM,6,DoITT,29826001,0,MACOMBS DAM
POINT (-73.96852757728713 40.712492205067484),"154,274",0,N,2,"16,715",8,0,3,05/14/2009 12:00:00 AM,04/27/2018 12:00:00 AM,6,DoITT,39730001,0,WILLIAMSBURG
POINT (-73.79354615537696 40.79857020268708),"306,328",0,N,2,"16,884",8,0,4,05/14/2009 12:00:00 AM,01/09/2017 12:00:00 AM,6,DoITT,49738001,0,THROGS NECK
POINT (-73.99934233022464 40.70804305317227),"9,014,211",0,N,1,617,8,0,1,05/14/2009 12:00:00 AM,04/07/2015 12:00:00 AM,6,DoITT,19778001,0,BROOKLYN
POINT (-73.92797348753933 40.8454367058386),"140,058",0,N,2,"17,199",8,0,2,05/14/2009 12:00:00 AM,05/27/2016 12:00:00 AM,6,DoITT,29703001,0,ALEXANDER HAMILTON
POINT (-73.94662833424147 40.763872690468794),"165,861",0,N,2,927,8,0,1,05/14/2009 12:00:00 AM,12/20/2019 12:00:00 AM,6,DoITT,19769001,0,ROOSEVELT IS
POINT (-73.92977006337374 40.80312494818145),"299,456",0,N,1,928,8,0,1,05/14/2009 12:00:00 AM,01/21/2021 12:00:00 AM,6,DoITT,19777001,0,WILLIS
POINT (-73.92706544578265 40.84649561797296),"297,504",0,N,2,933,8,0,2,05/14/2009 12:00:00 AM,07/28/2017 12:00:00 AM,6,DoITT,29820001,0,WASHINGTON
POINT (-73.92946799599785 40.845657680171854),"140,063",0,N,1,935,8,0,1,05/14/2009 12:00:00 AM,12/27/2011 12:00:00 AM,6,DoITT,19700001,0,ALEXANDER HAMILTON
POINT (-73.83521090661687 40.64305115827538),"156,016",0,N,1,940,8,0,4,05/14/2009 12:00:00 AM,03/16/2022 12:00:00 AM,6,DoITT,44089009,0,CHANNEL
POINT (-73.88427532341606 40.82272085731952),"342,699",0,N,1,"19,237",8,0,2,05/14/2009 12:00:00 AM,06/21/2022 12:00:00 AM,6,EMS,21592507,0,EASTERN BLVD
POINT (-74.04420378784582 40.606654734939724),"331,058",0,N,1,569,8,0,5,05/14/2009 12:00:00 AM,03/31/2021 12:00:00 AM,6,DoITT,59718001,0,VERRAZZANO
POINT (-73.8835129582936 40.57123147087077),"134,653",0,N,1,570,8,0,4,05/14/2009 12:00:00 AM,05/09/2017 12:00:00 AM,6,DoITT,49739001,0,MARINE PY-GIL HODGES MEMORIAL
POINT (-73.9401679409754 40.73333958624239),"65,919",0,N,1,578,8,0,4,05/14/2009 12:00:00 AM,01/21/2021 12:00:00 AM,6,DoITT,44799002,0,JJ BYRNE MEMORIAL
POINT (-73.9525551330673 40.73949877095421),"156,342",0,N,1,581,8,0,4,05/14/2009 12:00:00 AM,03/03/2017 12:00:00 AM,6,DoITT,49712001,0,PULASKI
POINT (-73.95806128277657 40.758391053852),"138,878",0,N,1,583,8,0,1,05/14/2009 12:00:00 AM,10/12/2011 12:00:00 AM,6,DoITT,19792001,0,ED KOCH QUEENSBORO
POINT (-73.94045346824683 40.74082294350693),"65,967",0,N,2,593,8,0,4,05/14/2009 12:00:00 AM,05/09/2017 12:00:00 AM,6,DoITT,41069003,0,HUNTERS POINT
POINT (-73.95072222706568 40.755219712929794),"138,881",0,N,2,606,8,0,4,05/14/2009 12:00:00 AM,05/13/2011 12:00:00 AM,6,DoITT,49734001,0,ED KOCH QUEENSBORO
POINT (-73.81593046708394 40.861857432774194),"95,433",0,N,2,612,8,0,2,05/14/2009 12:00:00 AM,05/09/2017 12:00:00 AM,6,DoITT,25787003,0,PELHAM
